Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
1,1.6,4.408,0.0633,0.3467,0.328,0.2958,0.5657,0.1951,IM
1,1.6667,4.4289,0.0712,0.4077,0.5145,0.3233,0.5772,0.1892,IM
3,1.9,4.6925,0.0297,0.1387,0.105,0.0711,0.2454,0.1567,FCC
3,1.75,4.2445,0.0374,0.3023,0.4882,0.2013,0.4794,0.0556,BCC
1,1.8,4.166,0.0371,0.4232,0.4508,0.1702,0.4897,0.0696,BCC
3,1.8889,4.5311,0.0367,0.1472,0.2381,0.1521,0.2833,0.1588,IM
3,1.85,4.7038,0.0317,0.1206,0.0805,0.104,0.1355,0.1216,BCC
3,1.6667,4.2844,0.0406,0.2872,0.2654,0.1666,0.7058,0.0967,BCC
1,2,4.5862,0.0605,0.232,0.3966,0.1282,0.551,0.181,BCC
1,1.9091,4.6509,0.0575,0.2425,0.3076,0.2384,0.4579,0.2049,IM
1,1.3671,4.3918,0.0289,0.2851,0.3102,0.0789,0.4593,0.1149,BCC
3,1.8077,4.6365,0.0512,0.1879,0.3183,0.1076,0.4103,0.1588,IM
4,1.8333,4.8,0.0304,0.1154,0.0798,0.0276,0.2667,0.189,FCC
3,1.9091,4.1764,0.0461,0.4769,0.5119,0.2249,0.4791,0.0775,BCC
3,1.875,4.1387,0.0403,0.4418,0.4664,0.168,0.4884,0.0612,BCC
1,1.8511,4.7128,0.0477,0.1948,0.2393,0.1716,0.4066,0.2163,IM
3,1.7143,4.2829,0.0356,0.3851,0.4437,0.1767,0.7571,0.1385,IM
1,1.5122,4.5622,0.0778,0.4008,0.2985,0.2683,0.5371,0.2355,IM
4,1.192,4.4344,0.0847,0.5476,0.0262,0.2248,0.2939,0.0866,IM
3,1.75,4.37,0.047,0.3621,0.5012,0.2047,0.5536,0.1107,BCC
4,1.3333,4.5333,0.1098,0.5068,0.0344,0.2841,0.333,0.1093,IM
3,2,4.6451,0.0551,0.2251,0.3726,0.2017,0.4852,0.1886,IM
1,1.8701,4.6338,0.0551,0.2349,0.2756,0.2104,0.387,0.1706,IM
1,2,4.6536,0.0516,0.1978,0.3365,0.1006,0.4959,0.2096,BCC+FCC
3,1.75,4.245,0.0443,0.3007,0.2261,0.1735,0.3731,0.0594,BCC
3,1.9091,4.3545,0.038,0.2314,0.4599,0.2864,0.6895,0.1047,BCC
2,1.75,4.3575,0.0386,0.3906,0.4888,0.2069,0.7074,0.1369,BCC
4,1.7674,4.7556,0.0415,0.1676,0.147,0.0433,0.3844,0.2323,FCC
1,1.8696,4.6748,0.0593,0.2478,0.3172,0.2185,0.4453,0.1928,IM
3,1.93,4.5069,0.0293,0.1216,0.1656,0.1625,0.2003,0.1313,FCC
3,2,4.6039,0.0584,0.2375,0.3522,0.1062,0.5683,0.2084,IM
1,2.0667,4.292,0.0514,0.2725,0.4055,0.3705,0.5285,0.1876,BCC+FCC
1,1.7143,4.7643,0.0425,0.1852,0.0852,0.1587,0.3457,0.229,IM
3,1.5556,4.2733,0.0308,0.299,0.3376,0.1472,0.8185,0.1177,BCC
1,1.939,4.6122,0.055,0.2337,0.3216,0.2156,0.4206,0.1662,IM
3,1.575,4.2975,0.0313,0.2596,0.2836,0.1636,0.7969,0.11,BCC
3,2,4.2876,0.0388,0.2505,0.3815,0.276,0.3072,0.0769,IM
3,2.13,4.4364,0.0292,0.1248,0.2521,0.1817,0.2349,0.1213,IM
3,1.7101,4.2616,0.0359,0.363,0.5127,0.1985,0.4721,0.0777,BCC
3,1.5,4.345,0.0603,0.4349,0.4915,0.278,0.5553,0.2289,BCC
4,1.7726,4.8545,0.0304,0.1158,0.0839,0.0287,0.4799,0.2397,IM
1,1.6977,4.7744,0.0453,0.1923,0.103,0.1459,0.3343,0.2214,IM
1,2,4.5931,0.0547,0.2322,0.3584,0.2194,0.4488,0.1621,IM
3,2.25,4.7325,0.0382,0.1545,0.3618,0.1038,0.4116,0.133,BCC
3,2,4.6217,0.05,0.1869,0.3062,0.1308,0.4411,0.191,BCC
1,1.6977,4.7535,0.0473,0.2069,0.0844,0.1858,0.3529,0.2286,IM
1,2,4.6033,0.0573,0.2144,0.3936,0.1228,0.5268,0.1791,BCC
3,1.25,4.6,0.0796,0.4018,0.1238,0.2626,0.4918,0.2406,IM
4,1.875,4.2363,0.0448,0.3674,0.5493,0.2514,0.4745,0.0793,IM
3,2,4.1519,0.0475,0.4359,0.5369,0.1753,0.5352,0.0624,BCC
3,1.8571,4.2686,0.0406,0.2573,0.1762,0.1502,0.3075,0.0669,IM
1,1.5625,4.4013,0.0636,0.3578,0.3173,0.2946,0.5687,0.1919,IM
3,1.8,4.6053,0.0576,0.2125,0.2285,0.1461,0.4049,0.1732,BCC
3,1.6667,4.3883,0.0451,0.3876,0.4952,0.2094,0.6144,0.13,BCC
3,1.8182,4.6873,0.0515,0.1989,0.2632,0.0965,0.4621,0.21,BCC+FCC
4,1.5556,4.8444,0.0505,0.1673,0.1042,0.0384,0.2551,0.2349,FCC
3,1.8371,4.4671,0.0296,0.1236,0.1866,0.1492,0.2458,0.151,BCC+FCC
3,1.6,4.565,0.0399,0.1525,0.0895,0.1421,0.2309,0.174,BCC+FCC
4,2,4.8833,0.0167,0.0606,0.055,0.0153,0.2894,0.1538,FCC
3,1.697,4.2333,0.0377,0.286,0.2453,0.1777,0.3648,0.0444,BCC
3,1.9583,4.5154,0.0375,0.1531,0.2876,0.1516,0.3291,0.1625,IM
3,1.8,4.6455,0.0319,0.1217,0.0869,0.1402,0.3127,0.2378,FCC
1,1.8,4.362,0.0372,0.2333,0.4222,0.2642,0.6797,0.1078,BCC
3,1.4792,4.3479,0.0261,0.2368,0.2843,0.1508,0.7486,0.1347,BCC
3,1.4,4.446,0.0624,0.3432,0.2451,0.2547,0.5135,0.2252,IM
1,1.6923,4.6608,0.064,0.2466,0.2326,0.0989,0.5121,0.208,FCC
3,1.8887,4.4588,0.0306,0.1287,0.2308,0.1489,0.2839,0.1558,BCC
2,1.8265,4.6036,0.0404,0.1574,0.1189,0.1628,0.3192,0.2216,IM
3,1.7762,4.6417,0.0541,0.1993,0.2289,0.1383,0.4098,0.1819,BCC
1,2,4.5883,0.0396,0.1515,0.2927,0.1448,0.4011,0.213,BCC
1,1.5172,4.6879,0.0787,0.3472,0.1113,0.2582,0.3873,0.2079,IM
1,1.4334,4.4084,0.0293,0.2894,0.3245,0.0904,0.4719,0.1225,BCC
1,1.6154,4.7769,0.042,0.1512,0.0968,0.0348,0.2844,0.238,BCC
3,1.3333,4.57,0.0737,0.3876,0.2025,0.2565,0.5584,0.2333,IM
1,1.9495,4.3343,0.0128,0.1238,0.2025,0.1238,0.3897,0.1045,BCC
3,1.7368,4.7028,0.0468,0.1779,0.2373,0.1006,0.4336,0.1994,FCC
3,2,4.2336,0.0502,0.3241,0.3302,0.2435,0.3629,0.081,IM
3,1.5,4.42,0.0573,0.4022,0.5718,0.3078,0.6464,0.2495,BCC
1,1.6522,4.763,0.0557,0.2345,0.1125,0.185,0.3345,0.2143,IM
3,1.5294,4.4194,0.0315,0.3195,0.3675,0.1329,0.5069,0.1343,BCC
3,1.7222,4.4278,0.0568,0.336,0.4703,0.2978,0.3693,0.1952,IM
3,1.7692,4.6523,0.0527,0.1947,0.2286,0.1349,0.4107,0.1843,IM
3,1.8,4.71,0.0732,0.2941,0.1622,0.19,0.3874,0.1325,IM
4,1.8889,5.0111,0.02,0.0955,0.0611,0.0232,0.3858,0.1944,FCC
1,1.6667,4.7722,0.0361,0.1349,0.0858,0.0673,0.352,0.2175,FCC
1,2,4.6431,0.0358,0.1427,0.2797,0.0825,0.3822,0.1846,BCC
1,1.5,4.6625,0.0387,0.147,0.0878,0.0855,0.4171,0.23,FCC
1,1.6667,4.6883,0.0571,0.2232,0.2039,0.0966,0.4744,0.21,IM
2,1.5455,4.3418,0.0347,0.2647,0.2811,0.1543,0.7158,0.1269,BCC
1,1.8462,4.7354,0.058,0.2215,0.2064,0.0719,0.4274,0.2061,IM
3,1.6364,4.2055,0.0375,0.3869,0.3516,0.133,0.8173,0.1064,BCC
3,1.83,4.7939,0.0407,0.1493,0.2116,0.0829,0.3652,0.1908,FCC
1,1.6,4.7,0.1018,0.4836,0.4209,0.3353,0.5113,0.2262,BCC+FCC
3,1.7143,4.3643,0.0339,0.1524,0.102,0.2038,0.2958,0.2022,BCC+FCC
1,2.7368,4.3869,0.027,0.1526,0.5877,0.1052,0.6004,0.1054,BCC+FCC
3,1.8,4.718,0.0549,0.2248,0.2457,0.1881,0.3997,0.206,IM
1,1.7317,4.7756,0.037,0.1596,0.0861,0.1187,0.3379,0.2293,IM
1,1.7,4.693,0.0632,0.2661,0.1648,0.2098,0.4344,0.227,IM
3,1.95,4.1292,0.0467,0.4485,0.4871,0.1568,0.4038,0.0471,BCC
1,1.6,4.496,0.069,0.4129,0.5203,0.3161,0.4527,0.2113,BCC
1,1.9091,4.6164,0.037,0.1406,0.2219,0.1434,0.3564,0.2213,FCC
1,1.625,4.725,0.036,0.1382,0.0874,0.0689,0.376,0.2303,FCC
3,1.7167,4.8486,0.0478,0.1682,0.1714,0.0546,0.4206,0.2552,IM
1,1.3333,4.5167,0.0938,0.4751,0.0607,0.2658,0.4468,0.181,IM
1,1.8462,4.7161,0.0466,0.1702,0.2861,0.1038,0.4274,0.1823,BCC+FCC
3,1.7778,4.6333,0.0794,0.4023,0.4772,0.3494,0.3352,0.1544,IM
3,1.8,4.606,0.0598,0.2817,0.3462,0.2526,0.3833,0.1454,IM
3,1.8333,4.6062,0.0583,0.2671,0.3497,0.2425,0.3877,0.1485,IM
3,1.625,4.2638,0.0314,0.3381,0.486,0.1862,0.4455,0.0728,IM
1,1.8571,4.6705,0.0486,0.1807,0.1977,0.1063,0.383,0.2045,BCC+FCC
1,1.6667,4.6743,0.0688,0.294,0.1613,0.2362,0.4418,0.2239,IM
1,1.6875,4.4325,0.0682,0.4013,0.5428,0.3287,0.5854,0.1932,IM
1,1.7,4.68,0.0782,0.2927,0.1563,0.232,0.2894,0.0953,IM
1,1.7778,4.7144,0.0658,0.2747,0.1694,0.2138,0.4314,0.1984,BCC+FCC
4,1.8499,4.6724,0.0357,0.1478,0.1087,0.105,0.2609,0.1795,FCC
3,1.5789,4.41,0.0347,0.3429,0.4321,0.1758,0.5776,0.141,BCC
1,1.8,4.65,0.0325,0.1239,0.0872,0.1404,0.2962,0.2306,FCC
3,1.75,4.825,0.0239,0.0775,0.0511,0.0929,0.3077,0.133,FCC
1,1.7778,4.7367,0.0469,0.1867,0.1725,0.0485,0.4148,0.2328,IM
3,1.6,4.5575,0.038,0.148,0.0872,0.1392,0.2064,0.1686,BCC+FCC
3,1.6,4.4,0.0431,0.419,0.4113,0.1664,0.5084,0.1174,BCC
1,1.7843,4.6804,0.06,0.2565,0.2299,0.2445,0.4219,0.2147,IM
1,2.2308,4.5923,0.0479,0.1794,0.4494,0.1153,0.5326,0.1802,BCC+FCC
3,1.6,4.5725,0.0408,0.1536,0.0903,0.1445,0.2498,0.1751,BCC+FCC
1,2,4.745,0.0566,0.2293,0.2386,0.0481,0.4548,0.1551,FCC
1,1.8518,4.7204,0.0607,0.2319,0.2199,0.072,0.4488,0.2061,IM
3,1.8333,4.2633,0.0433,0.2732,0.189,0.1575,0.3287,0.0674,IM
3,1.75,4.79,0.0381,0.1376,0.0901,0.0784,0.2383,0.1955,FCC
3,1.7875,4.149,0.0393,0.4136,0.4155,0.1731,0.2831,0.0424,BCC
3,1.6375,4.2876,0.0319,0.3218,0.4636,0.1731,0.6936,0.1135,IM
3,1.9091,4.725,0.0593,0.2366,0.1546,0.1556,0.3604,0.134,IM
3,1.6845,4.4074,0.0342,0.1491,0.1031,0.1588,0.3131,0.2072,BCC+FCC
1,1.8571,4.6329,0.085,0.4144,0.5143,0.3615,0.4729,0.1674,IM
1,1.871,4.6671,0.048,0.1785,0.3197,0.1074,0.4598,0.1858,BCC+FCC
3,2.619,4.4524,0.0346,0.1756,0.5974,0.1159,0.6404,0.1362,IM
2,1.7456,4.8247,0.0477,0.2099,0.0803,0.1859,0.3178,0.2049,IM
3,1.7619,4.7067,0.0496,0.195,0.222,0.0882,0.4438,0.2151,FCC
3,1.75,4.35,0.0476,0.4783,0.4334,0.1786,0.5803,0.1144,BCC
3,1.875,4.4625,0.0201,0.0805,0.0589,0.1497,0.2339,0.1947,IM
3,2.125,4.2713,0.0517,0.3731,0.6455,0.2836,0.8154,0.1197,IM
1,2,4.392,0.0708,0.4318,0.3792,0.277,0.2847,0.0739,IM
1,1.8571,4.6324,0.035,0.1332,0.1706,0.1421,0.3288,0.2258,FCC
3,2.0706,4.5844,0.0464,0.1769,0.3917,0.1054,0.4336,0.1615,IM
2,1.8333,4.7591,0.0533,0.2092,0.2032,0.0514,0.4622,0.2197,IM
1,1.9091,4.6582,0.0564,0.2215,0.293,0.0873,0.5098,0.2197,IM
1,1.6,4.7575,0.0449,0.1853,0.0957,0.1522,0.3669,0.2073,IM
3,2.0769,4.6169,0.0542,0.2239,0.4132,0.205,0.5151,0.1814,IM
1,2,4.5755,0.0561,0.2563,0.4983,0.2436,0.4953,0.1908,BCC
3,2,4.21,0.0434,0.4089,0.5776,0.208,0.603,0.0897,IM
3,1.8545,4.7964,0.0406,0.1633,0.1882,0.0572,0.4061,0.2178,IM
3,1.75,4.35,0.0301,0.1276,0.0909,0.2043,0.2829,0.2018,BCC
3,2,4.6328,0.0494,0.1835,0.3093,0.1268,0.4424,0.1937,BCC
1,1.8571,4.5014,0.0508,0.2601,0.3517,0.2147,0.5725,0.1962,BCC+FCC
1,2.0769,4.6,0.0549,0.2197,0.3859,0.1155,0.5564,0.2014,IM
3,1.541,4.7148,0.0561,0.2421,0.0801,0.2396,0.3889,0.2056,IM
3,2,4.7325,0.0524,0.1827,0.3656,0.1027,0.5105,0.2236,IM
3,1.7144,4.3114,0.0425,0.2685,0.2555,0.1552,0.6254,0.1013,BCC
1,1.5769,4.725,0.0451,0.1777,0.1059,0.1173,0.3139,0.249,IM
1,2.0565,4.2429,0.0158,0.0883,0.1665,0.1703,0.1909,0.1705,BCC+FCC
3,2.0334,4.6249,0.0543,0.2128,0.3608,0.1082,0.5308,0.2065,IM
3,2,4.7554,0.0404,0.1538,0.3078,0.113,0.3809,0.1178,IM
1,1.5769,4.7442,0.0689,0.2907,0.122,0.2185,0.3283,0.2019,IM
1,1.6667,4.63,0.0741,0.3247,0.2001,0.2427,0.4926,0.2171,BCC+FCC
1,2.0847,4.3144,0.0221,0.1054,0.2049,0.187,0.235,0.189,BCC+FCC
3,1.697,4.6815,0.0469,0.1863,0.1576,0.049,0.2851,0.1995,BCC+FCC
3,1.9,4.646,0.0558,0.2331,0.3357,0.2062,0.4249,0.1837,IM
3,1.8751,4.1925,0.0434,0.3925,0.5228,0.1907,0.5081,0.061,BCC
3,1.5556,4.2567,0.0352,0.3575,0.3502,0.1466,0.7875,0.1134,BCC
3,1.9803,4.7334,0.0473,0.1725,0.3078,0.0912,0.335,0.1447,IM
3,1.5455,4.2691,0.0327,0.3325,0.3332,0.1337,0.7921,0.1255,BCC
1,1.875,4.8019,0.0276,0.1099,0.1815,0.0957,0.3353,0.133,FCC
1,1.5291,4.6849,0.0686,0.3059,0.0926,0.2635,0.433,0.2458,IM
3,2,4.7697,0.0436,0.1617,0.2946,0.0881,0.3962,0.1866,BCC+FCC
1,2,4.5511,0.0415,0.1641,0.333,0.1322,0.3739,0.1642,BCC+FCC
1,1.9524,4.6676,0.0517,0.2082,0.3149,0.1924,0.4522,0.2055,IM
3,1.5455,4.2418,0.0311,0.3335,0.3347,0.141,0.7918,0.1065,BCC
3,2.08,4.8186,0.0422,0.1559,0.3084,0.0921,0.4415,0.1799,BCC+FCC
3,1.7,4.229,0.0323,0.2994,0.4547,0.1863,0.4736,0.0565,BCC
3,1.7826,4.5696,0.0522,0.1938,0.3362,0.1062,0.4411,0.1691,IM
3,1.9168,4.6634,0.0526,0.2158,0.3052,0.1885,0.4263,0.19,IM
4,1.2604,4.4823,0.1008,0.5372,0.0305,0.2576,0.3182,0.0989,IM
1,2,4.68,0.0409,0.1596,0.2929,0.0869,0.3187,0.1333,BCC+FCC
1,1.9129,4.3592,0.0209,0.1602,0.2588,0.1631,0.4477,0.1327,BCC
4,1.8002,4.6429,0.0345,0.1723,0.0944,0.15,0.2938,0.1826,IM
1,1.6667,4.5722,0.0379,0.1462,0.088,0.1496,0.2259,0.1648,FCC
3,2.15,4.457,0.0311,0.1313,0.2715,0.1787,0.253,0.1212,IM
3,1.5,4.3625,0.0425,0.3879,0.3757,0.1511,0.4523,0.0958,BCC
3,1.5556,4.3178,0.032,0.2616,0.284,0.1593,0.7702,0.12,BCC
1,1.8333,4.63,0.0582,0.2296,0.2149,0.0886,0.4677,0.2107,IM
3,2,4.75,0.029,0.0997,0.0789,0.18,0.2838,0.2147,FCC
3,1.7945,4.6138,0.057,0.2098,0.2287,0.1448,0.4063,0.1753,BCC
3,1.8571,4.2257,0.0471,0.3397,0.3867,0.1662,0.3707,0.0537,BCC
2,1.81,4.6325,0.0359,0.1382,0.1011,0.1511,0.3056,0.2276,IM
1,1.8462,4.7,0.0394,0.1497,0.1098,0.1457,0.2855,0.2061,FCC
3,1.9,4.275,0.0473,0.3397,0.5836,0.2927,0.4135,0.0799,BCC
3,1.9,4.249,0.048,0.3727,0.5771,0.2502,0.4887,0.0807,IM
3,1.8333,4.7146,0.0696,0.278,0.1606,0.1823,0.3829,0.1332,IM
1,1.6,4.75,0.0654,0.2748,0.1198,0.2109,0.331,0.2058,IM
3,2,4.172,0.0546,0.4468,0.514,0.2531,0.256,0.0725,IM
1,1.7368,4.7137,0.0561,0.2316,0.1686,0.1644,0.4255,0.23,IM
1,1.8679,4.7045,0.0299,0.1282,0.1797,0.0562,0.3328,0.202,FCC
1,1.7037,4.7522,0.0463,0.1603,0.2057,0.0962,0.3165,0.1512,BCC+FCC
1,2.0926,4.3343,0.0237,0.1094,0.2144,0.1894,0.246,0.1919,BCC+FCC
1,2.0781,4.2977,0.0207,0.1018,0.1965,0.1843,0.2253,0.1858,BCC+FCC
3,1.7826,4.7454,0.0385,0.1475,0.1945,0.0753,0.3821,0.2147,FCC
1,1.8333,4.7692,0.0507,0.1947,0.1709,0.0713,0.3767,0.2044,IM
1,2.037,4.1937,0.0108,0.0728,0.1344,0.148,0.1539,0.1474,BCC
3,1.4,4.44,0.0604,0.3291,0.1724,0.2447,0.4037,0.1999,IM
3,1.5,4.321,0.0512,0.3908,0.4144,0.2338,0.6938,0.2236,IM
1,2.2143,4.5736,0.0506,0.2003,0.4466,0.1236,0.5617,0.185,IM
3,1.8095,4.7633,0.0353,0.1381,0.1717,0.0545,0.3596,0.2239,IM
3,1.9474,4.2179,0.048,0.3434,0.4064,0.1418,0.3862,0.0563,BCC
3,1.6,4.55,0.037,0.1432,0.088,0.1443,0.3679,0.2368,BCC+FCC
1,2.6429,4.425,0.0337,0.167,0.5888,0.1145,0.6153,0.1228,BCC+FCC
4,1.8076,4.823,0.03,0.1158,0.0819,0.0281,0.3672,0.2246,FCC
3,2.04,4.576,0.0404,0.1555,0.3197,0.1452,0.4195,0.2092,BCC
3,1.6667,4.1767,0.0428,0.4303,0.4083,0.1775,0.2367,0.0228,BCC
1,1.8333,4.6717,0.0624,0.2664,0.3141,0.2331,0.4415,0.1891,IM
1,1.7931,4.6938,0.0457,0.1689,0.2714,0.102,0.4349,0.1922,BCC+FCC
3,1.7143,4.6614,0.0515,0.2058,0.185,0.0549,0.3389,0.2143,BCC
3,1.7059,4.4294,0.0495,0.2907,0.4348,0.2727,0.3583,0.1994,BCC
1,1.7333,4.7573,0.0751,0.3031,0.1852,0.2247,0.4806,0.2023,BCC+FCC
2,2.0476,4.6667,0.0457,0.1676,0.3519,0.0991,0.4648,0.2004,BCC
3,2.125,4.4515,0.0324,0.1447,0.2616,0.179,0.2727,0.1394,IM
3,1.4,4.356,0.0452,0.331,0.2609,0.2151,0.7032,0.2305,IM
3,2,4.2744,0.0424,0.2715,0.3694,0.2685,0.3229,0.0788,IM
2,1.8333,4.5683,0.0636,0.2462,0.3474,0.1257,0.5157,0.1896,IM
3,1.5789,4.3168,0.0351,0.2703,0.2812,0.16,0.7511,0.1177,BCC
1,1.6667,4.7173,0.0539,0.2077,0.1865,0.0549,0.4041,0.253,BCC+FCC
3,1.7222,4.6522,0.0533,0.2139,0.1961,0.0571,0.3617,0.2193,BCC
3,1.875,4.145,0.0502,0.4484,0.4205,0.1456,0.3448,0.0493,BCC
3,1.8571,4.48,0.0512,0.2191,0.3179,0.1589,0.5186,0.2215,IM
3,1.7619,4.6635,0.0509,0.1896,0.2282,0.1306,0.4115,0.1867,IM
3,1.7762,4.6471,0.0617,0.2362,0.2823,0.1104,0.5136,0.2012,IM
